ISO3_CountryCode,REG_ID,highway_length_meters,region_area_m2
BEN,BJDHS2017387012,1978070.2102619393,2434544926.9697323
BEN,BJDHS2017387003,3095179.7587741623,11340853027.195976
BEN,BJDHS2017387006,985740.6578705471,70527431.22107735
BEN,BJDHS2017387011,2094939.152379558,1616975987.7930722
BEN,BJDHS2017387014,4168061.1743804393,1414860964.7575428
BEN,BJDHS2017387015,4486105.746217915,3459231724.992815
BEN,BJDHS2017387017,4637325.985298554,5397006862.242433
BFA,BFDHS2010374012,13117251.447689082,35948884799.20303
BFA,BFDHS2010374021,5596702.629312021,19098652222.09143
BFA,BFDHS2010374010,13167591.123021709,2994877578.533092
BFA,BFDHS2010374016,3819257.1920041237,15364247456.303207
BFA,BFDHS2010374017,8120068.626566821,20749978384.487926
BFA,BFDHS2010374018,13393259.899736153,22624438673.72245
BFA,BFDHS2010374014,4257413.288969053,11832247850.327787
BFA,BFDHS2010374019,9093800.710385978,48751799036.26915
BFA,BFDHS2010374022,9986474.446371425,26529156656.496674
BFA,BFDHS2010374020,10718294.224241294,17267136485.69276
BFA,BFDHS2010374015,3368914.659531596,9029256213.189877
BFA,BFDHS2010374023,12413775.31498382,38482664797.70496
BFA,BFDHS2010374024,3320302.9869975494,16936184565.316772
BFA,BFMIS2014374012,13117251.447689082,35948884799.20303
BFA,BFMIS2014374021,5596702.629312021,19098652222.09143
BFA,BFMIS2014374010,13167591.123021709,2994877578.533092
BFA,BFMIS2014374016,3819257.1920041237,15364247456.303207
BFA,BFMIS2014374017,8120068.638130912,20749978409.51977
BFA,BFMIS2014374018,13393259.899736153,22624438673.72245
BFA,BFMIS2014374014,4257413.288969053,11832247850.327787
BFA,BFMIS2014374019,9093800.748608526,48751799189.193306
BFA,BFMIS2014374022,9986474.446371425,26529156656.496674
BFA,BFMIS2014374020,10718294.226983458,17267136496.215878
BFA,BFMIS2014374015,3368914.64522534,9029256177.634922
BFA,BFMIS2014374023,12413775.31498382,38482664797.70496
BFA,BFMIS2014374024,3320302.9869975494,16936184565.316772
BFA,BFMIS2017374012,13117251.447689082,35948884799.20303
BFA,BFMIS2017374021,5596702.629312021,19098652222.09143
BFA,BFMIS2017374010,13167591.123021709,2994877578.533092
BFA,BFMIS2017374016,3819257.1920041237,15364247456.303207
BFA,BFMIS2017374017,8120068.638130912,20749978409.51977
BFA,BFMIS2017374018,13393259.899736153,22624438673.72245
BFA,BFMIS2017374014,4257413.288969053,11832247850.327787
BFA,BFMIS2017374019,9093800.748608526,48751799189.193306
BFA,BFMIS2017374022,9986474.446371425,26529156656.496674
BFA,BFMIS2017374020,10718294.226983458,17267136496.215878
BFA,BFMIS2017374015,3368914.64522534,9029256177.634922
BFA,BFMIS2017374023,12413775.31498382,38482664797.70496
BFA,BFMIS2017374024,3320302.9869975494,16936184565.316772
CMR,CMDHS2011396005,19624645.2644464,64154167967.72499
CMR,CMDHS2011396009,16467392.803698638,68788568417.15317
CMR,CMDHS2011396003,3384958.6889169463,1465564592.2387092
CMR,CMDHS2011396011,8963994.784312582,109928987703.18922
CMR,CMDHS2011396007,15996321.442608152,35725327820.9156
CMR,CMDHS2011396014,4402252.863149946,18990382622.710346
CMR,CMDHS2011396006,11931226.180236345,67962723802.22904
CMR,CMDHS2011396016,7989804.4879215695,17587952266.50034
CMR,CMDHS2011396010,6231748.559529233,47520887653.64741
CMR,CMDHS2011396017,5133319.211363216,24680692041.396317
CMR,CMDHS2011396013,15361410.400918728,14107015298.650631
