country_name,country_code,percent_2000,percent_2002,percent_2004,percent_2006,percent_2008,percent_2010,percent_2012,percent_2014,percent_2016,percent_2018,percent_2020,population_2000,population_2002,population_2004,population_2006,population_2008,population_2010,population_2012,population_2014,population_2016,population_2018,population_2020
Kazakhstan,,24.45810532,21.67406466,18.890024,16.10598334,13.32194268,10.53790202,7.753861361,4.969820701,2.18578004,0.79375971,0.79375971,2065.960748,1841.443055,1638.930973,1428.761138,1208.269028,982.0382595,747.5103842,496.4205797,225.1443058,83.89230501,85.95529443
Kyrgyzstan,,47.15841945,42.68650943,38.2145994,33.74268938,29.27077936,24.79886934,20.32695932,15.8550493,11.38313927,6.911229252,2.439319231,819.1016611,751.9040815,679.4444952,610.4555275,543.5062707,474.7542664,402.7945539,326.2602893,243.6833019,154.0768025,56.65457955
Lao People's Democratic Republic,,54.4,51,47.5,44.1,40.7,37.3,33.8,30.4,27,23.6,21.8,637.152384,674.09148,706.095575,715.771665,711.703806,700.45297,677.89787,649.4884,615.5973,575.063796,566.828558
Latin America and The Carbbean,,31.86030432,30.21857607,28.15468955,26.20209437,23.41386656,21.78089353,19.22262515,18.35479264,17.02483004,17.90707228,17.70428552,126505.0637,124436.4174,119964.3519,115414.2351,106542.3277,102279.302,93047.53397,91469.53225,87228.84004,94201.44161,95501.75559
Lebanon,,,92.4,92.4,92.41021513,67.30186492,42.19351472,17.08516451,4.5,4.5,,,,2807.201628,3087.558012,3253.067826,2408.296956,1598.202153,736.1185844,221.75595,238.58388,,
Maldives,,,,41.535,41.535,40.9775,39.8625,38.7475,37.6325,36.5175,35.4025,34.845,,,41.89095495,47.3100264,50.35069335,52.93939312,55.76772685,58.5441276,60.84801472,62.60967527,65.0326173
Mexico,,32.1629699,30.4479275,28.7328851,27.01784271,25.30280031,23.58775791,21.87271551,20.15767312,18.44263072,17.6,17.6,24446.24072,23946.51673,23363.70878,22789.03969,22208.6165,21533.76308,20721.28765,19779.89736,18717.83756,18446.82365,19021.09616
Mongolia,,57.60410581,53.6315641,49.65902239,45.68648068,41.71393898,37.74139727,33.76885556,29.79631385,25.82377215,21.85123044,17.87868873,789.0178382,777.2259453,761.8314773,742.5154155,718.9576753,691.7454643,646.508792,593.8476862,533.93567,466.8974259,393.9513638
Montenegro,,19.1,19.1,18.5,17.3,16.1,14.9,13.6,12.4,11.2,10,8.8,68.607582,70.959174,70.701265,67.126595,63.483427,59.662431,55.205664,50.957056,46.566464,42.0403,37.379496
Myanmar,,29.39935185,32.60842968,35.81750751,39.02658534,42.23566317,45.444741,48.65381884,51.86289667,55.0719745,58.28105233,58.28105233,3662.432194,4210.470222,4779.980335,5362.819882,5957.452215,6583.783676,7259.986616,7984.452161,8761.312859,9597.934092,9947.448477
Nepal,,66.31028771,63.41827744,60.52626717,57.63425689,54.74224662,51.85023635,48.95822608,46.06621581,43.17420554,40.28219526,40.28219526,2108.999364,2218.497547,2273.455568,2311.659326,2334.157938,2349.509981,2363.227771,2372.239669,2370.220278,2355.570251,2508.063335
Nicaragua,,71.59810811,70.33594595,69.07378378,67.81162162,67.2,67.2,,,,,,1986.173762,2018.273792,2045.877752,2074.552803,2125.06896,2194.595424,,,,,
Western Asia and Northern Africa,,31.58638519,34.44566617,32.60678533,29.82318426,27.40416275,25.15385619,22.77261437,20.28571948,18.84772907,18.66442624,18.65724768,63632.77553,72820.95937,72440.23956,69907.23846,67907.47117,65880.67226,62829.60523,58841.18858,57398.67921,59482.38061,62055.77467
Oceania,,16.97668882,15.98929438,15.9759681,15.90478049,15.70815002,15.49986942,15.26186433,15.02992219,14.84161814,15.03153895,15.25228614,330.992295,323.2728329,334.2953752,344.8095972,353.2425213,361.6575232,369.2641651,377.1321602,386.8473706,407.625123,430.7356948
Pakistan,,71.22166714,69.69687185,68.17207655,66.64728126,65.12248597,63.59769068,62.07289539,60.54810009,59.0233048,57.49850951,55.97371422,32539.32012,33653.4719,34723.61762,35790.31049,36862.19896,37962.4238,39102.31455,40241.25123,41319.42448,42336.3998,43344.77313
Panama,,48.67615385,44.36461538,40.05307692,35.74153846,31.43,27.11846154,22.80692308,18.49538462,16.3,16.3,,917.461777,877.3386626,830.0912076,775.5878105,713.4971445,643.5739733,565.696306,479.2337258,440.744013,459.409143,
Paraguay,,42.02714286,39.03,36.03285714,33.03571429,30.03857143,27.04142857,24.04428571,21.04714286,18.05,15.05285714,15.1,1233.097805,1216.895684,1177.753033,1126.402893,1064.670004,995.127546,918.8725758,834.009663,740.8006995,639.3600217,663.498832
Peru,,47.41309489,45.56432161,43.71554833,41.86677505,40.01800177,38.1692285,36.32045522,34.47168194,,,,8974.676328,8951.238104,8899.547941,8825.556373,8717.065301,8569.086839,8413.008739,8239.826459,,,
Philippines,,49.97358917,48.56748991,47.16139064,45.75529138,44.34919211,42.94309284,41.53699358,40.13089431,38.72479505,37.31869578,36.61564615,17981.0296,18160.95758,18288.37706,18330.99226,18294.71408,18245.63295,18392.63808,18516.50941,18594.8291,18645.15858,19043.28604
Republic Moldova,,26.5,23.7,20.8,18,15.1,12.3,9.4,6.5,6.5,6.5,,496.4086,433.445508,372.55088,318.88926,264.978877,214.117293,162.965168,112.420815,112.17518,111.97199,
State of Palestine,,,30,30,29.07111566,27.16441823,25.2577208,23.35102336,21.44432593,19.5376285,19.5,19.5,,734.0208,765.7575,779.5277217,771.2798701,761.6503593,748.3692419,730.8635864,707.8752424,750.4419,796.27782
Sub Saharan Africa,,64.14283031,63.38059549,61.63753921,60.15546446,58.73979627,57.26398273,55.74045666,54.2109195,52.67559395,51.33681486,50.1623771,129979.3533,139264.6068,146915.9624,155638.159,164932.3825,174945.7998,185178.9496,195587.0414,206152.0921,217646.5412,230079.5618
Suriname,,7.430175439,8.267192982,9.104210526,9.94122807,10.77824561,11.61526316,12.4522807,13.28929825,14.12631579,14.96333333,15.80035088,23.32153746,26.59250096,29.99245595,33.3967604,36.91193441,40.54156607,44.2788159,48.12347259,52.09008316,56.1748971,60.38499096
Tajikistan,,60.27622804,55.72756421,51.17890038,46.63023655,42.08157272,37.5329089,32.98424507,28.43558124,23.88691741,19.33825358,17.06392167,992.9616481,952.3489639,910.7111314,865.4553252,815.6406127,760.614908,700.0104498,633.8527074,560.2521214,477.8840218,444.7323832
Thailand,,15.60559554,15.60559554,15.08731472,14.05075307,13.01419142,11.97762977,10.94106812,9.904506473,8.867944825,7.831383176,6.794821528,3083.652414,3373.056155,3547.07793,3576.758998,3571.708916,3530.420029,3373.329116,3180.996669,2958.598243,2706.218879,2425.637472
Timor-Leste,,,,56.1,56.1,54,50,46,42,37.9,33.9,33.9,,,143.75625,155.15016,157.46886,153.8585,151.26962,148.4007,143.526163,137.25432,146.668011
Trinidad and Tobago,,11.06,11.06,11.06,10.28,9.5,8.72,7.94,7.5,7.5,,,78.4008008,78.4804328,78.7238634,73.3831632,67.98048,62.5660872,57.1710966,54.26025,54.513525,,
Tunisia,,,,,10.4,10.4,10.14414926,9.643920744,9.143692225,8.643463705,8.143235186,7.643006666,,,,694.811624,715.36868,719.453904,705.7191675,690.5752522,673.6419141,654.5879344,632.9020196
Turkey,,24.58136047,23.18732684,21.79329321,20.39925958,19.00522595,17.61119232,16.2171587,14.82312507,14.12610825,14.12610825,,10064.18123,9965.305104,9816.964363,9601.610197,9324.444305,9021.465,8703.840699,8344.204955,8326.707401,8695.281862,
Turkmenistan,,10.5,10.5,10.50752043,10.25739282,10.00726521,9.757137605,9.507009997,9.256882389,9.006754781,8.756627173,8.506499565,217.718445,224.415345,231.3489108,233.4158976,236.4385529,240.6921927,246.2775729,252.604306,258.7178602,264.3596847,269.4309542
Ukraine,,5,5,4.6,3.9,3.2,2.5,1.8,1.1,1.1,1.1,,1639.67835,1614.0952,1468.15279,1235.700024,1009.822496,785.291575,561.461634,340.507629,338.039592,335.73617,
Venezuela,,27.82013514,26.40689189,25.7,25.7,,,,,,,,5965.155818,5896.174657,5949.299425,6158.999089,,,,,,,
Vietnam,,45.31666992,40.37283397,35.42899802,30.48516207,25.54132611,20.59749016,15.65365421,10.70981826,5.765982307,5.765982307,5.765982307,8867.833338,8440.991039,7896.435273,7234.573127,6450.717834,5542.927961,4495.751717,3282.204908,1881.773704,1998.429559,2117.686621
World,,31.1986956,30.91581984,30.11461184,29.21796776,28.17292644,27.27531792,26.25416812,25.42202175,24.61491613,24.36165588,24.20500285,894874.5298,928033.6221,946515.7693,961109.3378,969069.5396,980511.7155,983964.8932,992178.7831,999526.2522,1028017.374,1059935.609
Yemen,,63.81216328,61.19063584,58.56910841,55.94758098,53.32605354,50.70452611,48.08299867,45.46147124,44.2,44.2,,2996.058279,3162.16195,3328.374664,3491.227521,3650.320344,3803.440814,3947.547356,4076.54331,4315.28799,4683.10492,
